"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",9915961.000000,4436179353266943,4436179353862226
1,1,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179353266943,4436179353862226
2,2,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",8470139.000000,4436179355971845,4436179356484525
2,2,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179355971845,4436179356484525
3,3,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7936867.000000,4436179358206239,4436179358704739
3,3,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179358206239,4436179358704739
4,4,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7940195.000000,4436179360337971,4436179360838914
4,4,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179360337971,4436179360838914
5,5,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7943731.000000,4436179362461571,4436179362962114
5,5,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179362461571,4436179362962114
6,6,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7973094.000000,4436179364570880,4436179365072985
6,6,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179364570880,4436179365072985
7,7,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7990437.000000,4436179366647961,4436179367148904
7,7,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179366647961,4436179367148904
8,8,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7988987.000000,4436179368746654,4436179369248639
8,8,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179368746654,4436179369248639
9,9,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7922787.000000,4436179370815283,4436179371314663
9,9,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179370815283,4436179371314663
10,10,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7986363.000000,4436179372853095,4436179373355681
10,10,2,1,676463,676463,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436179372853095,4436179373355681
