"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",9918589.000000,4436362956850946,4436362957448032
1,1,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362956850946,4436362957448032
2,2,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",8404241.000000,4436362959562728,4436362960071963
2,2,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362959562728,4436362960071963
3,3,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7931755.000000,4436362961739006,4436362962234622
3,3,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362961739006,4436362962234622
4,4,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7993713.000000,4436362963854394,4436362964356860
4,4,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362963854394,4436362964356860
5,5,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7931993.000000,4436362965950143,4436362966448122
5,5,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362965950143,4436362966448122
6,6,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7945783.000000,4436362968072632,4436362968570330
6,6,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362968072632,4436362968570330
7,7,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7932701.000000,4436362970135352,4436362970631247
7,7,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362970135352,4436362970631247
8,8,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7929479.000000,4436362972224181,4436362972723000
8,8,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362972224181,4436362972723000
9,9,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7947197.000000,4436362974279059,4436362974779722
9,9,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362974279059,4436362974779722
10,10,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"GRBM_GUI_ACTIVE",7910743.000000,4436362976319165,4436362976818185
10,10,2,1,676815,676815,131072,11,"r_64_4_64_4_2_2_2_4_4_2_256",512,0,0,36,132,32,"SQ_VALU_MFMA_BUSY_CYCLES",268435456.000000,4436362976319165,4436362976818185
